"time","xS","xI","xV","xR","xC","xF","xJ","R_t","date"
80,85155.1398357463,451.188059454625,11769.8932103578,2623.77889444077,0.595222445908334,3833.8602378211,3.43270164499414,0.868777198328828,2020-03-21
81,85034.5549484749,445.233164552818,11873.6747351323,2646.53715183947,0.590350845183603,3872.74447804106,3.47820603324355,0.865590918821108,2020-03-22
82,84915.6351265466,439.215053313247,11976.6403227483,2668.5094973914,0.585368259249256,3910.96660844637,3.52310683537282,0.862322639506214,2020-03-23
83,84798.3709791191,433.134798083558,12078.7979810805,2689.69624171639,0.580272985834935,3948.5214307537,3.5673976713691,0.858968307010367,2020-03-24
84,84682.7530500917,426.993495315832,12180.1556538369,2710.09780075518,0.575063313208319,3985.40387918789,3.61107226787307,0.855523825549807,2020-03-25
85,84568.7719685078,420.792269889519,12280.721142201,2729.71461940116,0.569737518961,4021.6089653916,3.65412439824618,0.851985067384436,2020-03-26
86,84456.4177880606,414.532304556878,12380.5024193828,2748.54748799931,0.564293923615166,4057.13206036856,3.69654813711641,0.848347768569061,2020-03-27
87,84345.6809508405,408.214816041162,12479.5071577375,2766.59707538038,0.558730834121085,4091.96850290899,3.73833748966794,0.844607662147217,2020-03-28
88,84236.5516218512,401.84108611888,12577.7430447804,2783.86424724895,0.553046600269171,4126.11388380713,3.77948664682268,0.840760371981575,2020-03-29
89,84129.0198392877,395.412463759906,12675.217703934,2800.34999301773,0.5472396146222,4159.56399257217,3.81998992934289,0.836801430268976,2020-03-30
90,84023.0755005662,388.930373125681,12771.9386944402,2816.05543186726,0.541308324776656,4192.3148325495,3.85984179500021,0.832726271169804,2020-03-31
91,83918.7083477516,382.396321466102,12867.9135112355,2830.98181954615,0.535251246408343,4224.3626367354,3.89903684655192,0.828530225542123,2020-04-01
92,83815.9079523707,375.811906943875,12963.1495847875,2845.13055589726,0.529066977172464,4255.7038843054,3.93756984051643,0.824208516796211,2020-04-02
93,83714.6636996021,369.178826407547,13057.6542808922,2858.50319309754,0.522754211524231,4286.33531787126,3.9754356967429,0.819756257903207,2020-04-03
94,83614.9647718421,362.498883127004,13151.434900429,2871.10144460131,0.516311756521241,4316.25396147615,4.01262950877145,0.815168449609106,2020-04-04
95,83516.8001316496,355.77399449777,13244.4986790743,2882.92719477774,0.509738548662937,4345.45713933087,4.04914655498176,0.810439979922263,2020-04-05
96,83420.1585040812,349.006199712975,13336.8527869717,2893.98250923353,0.503033671815479,4373.94249528686,4.08498231052778,0.805565624959023,2020-04-06
97,83325.0283584367,342.197667394132,13428.504328357,2904.26964581168,0.496196376261795,4401.70801303364,4.12013246005627,0.800540051248056,2020-04-07
98,83231.3978894412,335.350703163946,13519.4603411387,2913.79106625563,0.489226098906346,4428.75203699884,4.15459291120525,0.795357819609424,2020-04-08
99,83139.2551448903,328.467754309505,13609.7277282596,2922.54937254015,0.48212247213168,4455.07322208782,4.18835973918235,0.790013411191838,2020-04-09
100,83048.5874161437,321.551429153897,13699.3135305432,2930.54762415867,0.474885397190791,4480.67084365061,4.2214294803205,0.784501151543158,2020-04-10
101,82959.3821050753,314.604485160075,13788.2245150851,2937.7888946791,0.467514990463677,4505.54438792128,4.25379873054795,0.778815347560912,2020-04-11
102,82871.6261102827,307.629849469974,13876.4674493589,2944.27659088792,0.460011660771127,4529.69386396087,4.28546443977377,0.772950212367959,2020-04-12
103,82785.3059550302,300.630622032572,13964.0490317152,2950.01439122148,0.452376121942857,4553.11975505521,4.31642385976598,0.766899901439709,2020-04-13
104,82700.4077662993,293.610081985483,14050.9758906835,2955.00626103107,0.444609419711977,4575.82304270638,4.3466745620729,0.760658529125003,2020-04-14
105,82616.9172538275,286.571693606746,14137.2545842296,2959.25646833551,0.436712959482514,4597.80523081206,4.37621445658927,0.754220187903191,2020-04-15
106,82534.8196892769,279.519111742434,14222.8915989702,2962.7696000098,0.428688534823445,4619.06836989068,4.40504181072037,0.747578970571623,2020-04-16
107,82454.0998856988,272.456186604531,14307.8933493472,2965.55057834884,0.420538356505541,4639.61508118929,4.43315526908705,0.740728995555768,2020-04-17
108,82374.7421774788,265.386967822272,14392.2661767637,2967.60467793458,0.412265081856515,4659.4485804885,4.46055387370348,0.733664435527497,2020-04-18
109,82296.7304009711,258.315707619114,14476.0163486856,2968.93754272355,0.403871844165649,4678.57270139577,4.48723708454687,0.726379549504896,2020-04-19
110,82220.0478760505,251.246862976918,14559.1500577131,2969.55520325892,0.395362281821517,4696.99191789422,4.51320480042469,0.718868718588444,2020-04-20
111,82144.6773888356,244.185096639066,14641.6734206268,2969.464093898,0.386740566816294,4714.71136589013,4.53845738003043,0.711126485462674,2020-04-21
112,82070.6011758588,237.135276795534,14723.5924774136,2968.67106993156,0.378011432197956,4731.73686347807,4.56299566306304,0.703147597758537,2020-04-22
113,81997.801035985,230.102477220884,14804.9131310354,2967.18335575804,0.369180188305143,4748.07486128945,4.58682092014301,0.694927067040891,2020-04-23
114,81926.2578128031,223.09196627814,14885.6413839927,2965.00883692547,0.360252785906907,4763.73273297626,4.6099351583165,0.686460172325471,2020-04-24
115,81855.9521457,216.109212645376,14965.7829801272,2962.1556615267,0.351235777810866,4778.71837853263,4.63234071412949,0.677742587918998,2020-04-25
116,81786.8639542352,209.159870955818,15045.3436423675,2958.63253244085,0.342136377161784,4793.04051072292,4.6540405584627,0.668770392729056,2020-04-26
117,81718.972561917,202.249774074656,15124.3290119438,2954.44865206382,0.332962461327544,4806.70859523123,4.67503824420405,0.659540145108218,2020-04-27
118,81652.2566958597,195.384921348974,15202.7446474643,2949.61373532629,0.323722581384757,4819.73285617372,4.69533792417367,0.650048948274179,2020-04-28
119,81586.6944902604,188.571464391705,15280.5960240357,2944.13802131143,0.314425966273445,4832.12427784736,4.71494436775876,0.640294518484922,2020-04-29
120,81522.2634940533,181.815690273416,15357.8885324409,2938.03228323163,0.305082520891462,4843.89460233553,4.73386297599913,0.630275255434114,2020-04-30
121,81458.940683077,175.124002020788,15434.6274783868,2931.30783651475,0.29570281740746,4855.05632260499,4.75209979485298,0.619990314211407,2020-05-01
122,81396.7024770685,168.502896352041,15510.8180818352,2923.9765447436,0.286298079099078,4865.6226707509,4.76966152636233,0.609439678047317,2020-05-02
123,81335.5247617607,161.958938617605,15586.4654764317,2916.05082318945,0.276880156073442,4875.6076010803,4.78655553743218,0.598624230936276,2020-05-03
124,81275.3829163138,155.498734959064,15661.5747090449,2907.54363968162,0.267461492302585,4885.02576776729,4.80278986593574,0.587545829108002,2020-05-04
125,81216.2518462559,149.128901750597,15736.1507394319,2898.46851256106,0.258055083508832,4893.8924968689,4.81837322386148,0.576207370201239,2020-05-05
126,81158.1060220373,142.856032444317,15810.1984400406,2888.8395054772,0.248674425565802,4902.22375255673,4.83331499722636,0.56461285889034,2020-05-06
127,81100.9196176786,136.686671887065,15883.7225440912,2878.67116634265,0.239333457053606,4910.03604615601,4.84762518036159,0.552767465478199,2020-05-07
128,81044.666181338,130.627238591204,15956.7278536554,2867.97872641497,0.230046472929099,4917.34659655908,4.86131461809968,0.540677589156421,2020-05-08
129,80989.3192614776,124.684045873241,16029.2189272898,2856.77776535878,0.220828067579278,4924.17296948258,4.87439461876532,0.528350891280699,2020-05-09
130,80934.8520850989,118.863219870772,16101.2002894237,2845.08440560605,0.21169302974924,4930.53322774624,4.88687719033116,0.51579634219771,2020-05-10
131,80881.2377187856,113.17066788006,16172.6763786698,2832.91523466396,0.202656248951255,4936.44581758884,4.89877495764216,0.503024246018094,2020-05-11
132,80828.4491381397,107.612035854343,16243.6515486783,2820.28727732705,0.193732610576659,4941.92950214952,4.91010113845694,0.490046255947885,2020-05-12
133,80776.4593009211,102.192666002692,16314.130069187,2807.21796388857,0.184936884911248,4947.00329079785,4.92086951513079,0.476875376675136,2020-05-13
134,80725.241223192,96.9175551150639,16384.116127267,2793.72509442537,0.176283611515681,4951.68636497923,4.93109440197626,0.463525952845915,2020-05-14
135,80674.7680576699,91.7913142748403,16453.6138287606,2779.82679929399,0.167786980658785,4955.99800134247,4.94079060840255,0.450013642895081,2020-05-15
136,80625.0131734088,86.8181306411605,16522.6271999077,2765.54149604176,0.159460713686901,4959.95749300459,4.94997339800482,0.43635537777113,2020-05-16
137,80575.9502358607,82.0017319874609,16591.1601891484,2750.88784300298,0.151317944365976,4963.58406988079,4.95865844384443,0.422569304404596,2020-05-17
138,80527.5532863207,77.3453546682643,16659.2166690943,2735.88468991627,0.143371103335178,4966.89681906105,4.96686178023173,0.408674714107524,2020-05-18
139,80479.7968197338,72.851715652305,16726.8004386522,2720.55102596121,0.135631807853304,4969.91460624686,4.97459975139061,0.39469195644647,2020-05-19
140,80432.6558598386,68.5229892062876,16793.915225284,2704.90592567065,0.128110758996006,4972.65599926873,4.9818889574476,0.380642339491073,2020-05-20
141,80386.10608858,64.3608043337541,16860.5646412274,2688.96846585839,0.120817669879835,4975.13916943484,4.98874615669704,0.366548008973616,2020-05-21
142,80340.123680171,60.3661688125967,16926.7523709721,2672.75778004383,0.113761096494679,4977.38192367586,4.99518837550954,0.352431861142887,2020-05-22
143,80294.6857133683,56.5395591838401,16992.4818957602,2656.29283168714,0.106948501834801,4979.40148708465,5.00123259550143,0.338317355843494,2020-05-23
144,80249.7699914925,52.8808546368845,17057.7566819357,2639.59247193434,0.100386111696069,4981.21454680043,5.00689586524132,0.324228415590899,2020-05-24
145,80205.3551497098,49.3893592516946,17122.5801370561,2622.67535398184,0.094078898766157,4982.83717392834,5.01219519799102,0.310189272699077,2020-05-25
146,80161.4206957935,46.063813674456,17186.9556125433,2605.55987798814,0.0880305601181315,4984.28477821546,5.0171475134624,0.296224323984045,2020-05-26
147,80117.9470430747,42.9024126979619,17250.8864063227,2588.26413790406,0.0822435112144719,4985.57207009703,5.02176958102502,0.282357985784466,2020-05-27
148,80074.915535363,39.9028284275775,17314.3757654301,2570.80587077869,0.0767188963026696,4986.71303036954,5.02607796495639,0.268614551701033,2020-05-28
149,80032.308463779,37.0622385974108,17377.4268885673,2553.20240905567,0.0714566146884978,4987.72088759323,5.03008897228889,0.255018055346257,2020-05-29
150,79990.1090755899,34.3773594986031,17440.042928589,2535.47063632195,0.0664553620018921,4988.608103175,5.03381860375753,0.241592140218867,2020-05-30
151,79948.3015752899,31.8444828958289,17502.226994905,2517.6269469088,0.0617126852369661,4989.38636393866,5.03728250829384,0.228359938580889,2020-05-31
152,79906.871118295,29.4595162417124,17563.9821557865,2499.68720967633,0.0572250500636292,4990.06658185707,5.04049594144354,0.215343960931756,2020-06-01
153,79865.8037977437,27.2180254536041,17625.3114405636,2481.6667362386,0.0529879186823683,4990.65890050417,5.04347372801274,0.202565997355184,2020-06-02
154,79825.0866249891,25.1152794936946,17686.217841707,2463.58025380972,0.0489958363316778,4991.17270768623,5.04623022917071,0.271495759535837,2020-06-03
155,79784.5172580816,23.3294098077323,17746.7019727415,2445.45135936871,0.045592198867389,4991.80925953707,5.0486989834967,0.253916612486624,2020-06-04
156,79744.2977910292,21.6329351790303,17806.769043963,2427.30022982831,0.0423477131498784,4992.36103527367,5.05099031085742,0.236794803150832,2020-06-05
157,79704.4161359879,20.0259692847932,17866.421933465,2409.13596126191,0.0392642913604575,4992.83708492451,5.05311330398742,0.220149460884629,2020-06-06
158,79664.860931285,18.5079856033238,17925.6635276594,2390.96755545193,0.0363425350336589,4993.2458150121,5.05507705390447,0.20399938379666,2020-06-07
159,79625.621572045,17.077889063222,17984.4966810709,2372.80385782061,0.0335818529526424,4993.59498186848,5.0568905700138,0.188362881125204,2020-06-08
160,79586.6881968069,15.7340798785111,18042.9242180198,2354.65350529444,0.0309805705609136,4993.89170178168,5.0585627253019,0.173257641984572,2020-06-09
161,79548.0516674167,14.4745174266725,18100.9489341859,2336.52488097045,0.028536044118204,4994.14246758137,5.06010220803612,0.158700626047803,2020-06-10
162,79509.7035432379,13.29678322661,18158.5735980511,2318.42607548415,0.0262447772763956,4994.35317067723,5.06151747993005,0.144707975608808,2020-06-11
163,79471.6360507233,12.1981421644896,18215.8009522216,2300.36485489042,0.0241025378783748,4994.52912756458,5.06281674064278,0.131294948058385,2020-06-12
164,79433.8420493575,11.1756012210034,18272.633714631,2282.3486347903,0.0221044729659583,4994.67510983707,5.06400789839745,0.118475867467018,2020-06-13
165,79396.3149949307,10.2259650692037,18329.0745796293,2264.38446037048,0.0202452202099006,4994.79537679331,5.06509854643434,0.106264093698606,2020-06-14
166,79359.0489010358,9.34588803297665,18385.1262189629,2246.47899196799,0.0185190142321743,4994.89370978771,5.06609594495441,0.0946720072851562,2020-06-15
167,79322.0382995985,8.53192201803962,18440.7912826517,2228.63849573134,0.0169197865651404,4994.97344755301,5.06700700816327,0.0837110081711856,2020-06-16
168,79285.278201162,7.78056014608008,18496.0723997712,2210.86883892008,0.0154412582717405,4995.03752180784,5.06783829599157,0.0733915263832307,2020-06-17
169,79248.7640799045,7.08828131443316,18550.9721412761,2193.17549750415,0.0140770349475285,4995.0884912872,5.0685960032714,0.0637230420316102,2020-06-18
170,79212.4917375724,6.45156286634611,18605.493172355,2175.56352720552,0.0128206401996081,4995.12858132031,5.06928598708041,0.0547141168464954,2020-06-19
171,79176.4574131841,5.86694456033523,18659.6380249708,2158.03761728396,0.0116656484386024,4995.15970939255,5.06991372751702,0.0463724248868001,2020-06-20
172,79140.6576495218,5.33103136740506,18713.4092506011,2140.6020685089,0.010605698982682,4995.18352202094,5.07048436236885,0.0387047954525447,2020-06-21
173,79105.0892842481,4.84052105433939,18766.8093825266,2123.26081217009,0.00963455770921045,4995.20142336018,5.07100268809532,0.0317172552655791,2020-06-22
174,79069.7494185554,4.39222192687018,18819.8409362015,2106.01742331524,0.00874615911953294,4995.21460314824,5.07147317017437,0.0254150733834763,2020-06-23
175,79034.6353880471,3.98306691394766,18872.5064095787,2088.87513545934,0.00793464069823425,4995.22406258264,5.07189995507612,0.0198028068831923,2020-06-24
176,78999.7447358998,3.6101242966421,18924.8082833986,2071.83685640394,0.00719437011088644,4995.23063807977,5.07228688350559,0.0148843463595757,2020-06-25
177,78965.0751883143,3.27060540203387,18976.7490214437,2054.90518483902,0.00651996584554932,4995.23502291821,5.07263750458745,0.0106629604551986,2020-06-26
178,78930.6246322087,2.96186958955398,19028.3310707662,2038.08242743475,0.00590631193971954,4995.23778680578,5.07295509069983,0.00714133879904443,2020-06-27
179,78896.3910950856,2.68142685600912,19079.5568618916,2021.37061616604,0.00534856744925365,4995.23939344245,5.07324265269702,0.00432163287925005,2020-06-28
180,78862.3727269729,2.42693837737632,19130.4288090025,2004.77152564644,0.00484217131242577,4995.24021617477,5.07350295529394,0.00220549450743714,2020-06-29
181,78828.5677843203,2.19621529176918,19180.9493101057,1988.28669028148,0.00438284324407376,4995.24055185523,5.07373853241735,0.000794111648128116,2020-06-30
182,78794.9746157222,1.98721601006922,19231.1207471851,1971.91742108193,0.00396658126499271,4995.24063303161,5.07395170235847,8.82414861230819e-05,2020-07-01
183,78761.59167021,1.79804411118526,19280.9454519114,1955.66483376673,0.00358965998920117,4995.24063859098,5.07414458075686,8.82406875901556e-05,2020-07-02
184,78728.4174025518,1.62693614570885,19330.4258437375,1939.52981756425,0.0032486085189542,4995.2407030347,5.07431910247945,0.000794092878437776,2020-07-03
185,78695.4503893127,1.47226730651734,19379.5642227262,1923.51312065377,0.00294022347873554,4995.24092441296,5.07447702391911,0.00220543342208547,2020-07-04
186,78662.6892365579,1.33253756103248,19428.3629081025,1907.61531777782,0.0026615429909634,4995.24137118832,5.07461994412282,0.00432157160664235,2020-07-05
187,78630.1325936467,1.20636709455922,19476.8242036985,1891.8368355595,0.00240983888185146,4995.24208804818,5.07474931535687,0.00714151039575638,2020-07-06
188,78597.7791470213,1.09248954145229,19524.9503980635,1876.17796537293,0.00218260428458646,4995.24310082522,5.07486645501905,0.0106639639105961,2020-07-07
189,78565.627614894,0.989745110086223,19572.7437645693,1860.63887542603,0.00197754084902765,4995.24442062826,5.07497255685524,0.0148873728230643,2020-07-08
190,78533.6767427214,0.897073707539362,19620.2065615132,1845.21962205716,0.00179254579538753,4995.24604728426,5.07506870147461,0.01980991784594,2020-07-09
191,78501.9252993716,0.813508151398353,19667.3410322197,1829.92016025657,0.00162569900948969,4995.24797218325,5.07515586616824,0.0254295315055325,2020-07-10
192,78470.3720738894,0.738167539357877,19714.149405139,1814.74035343149,0.0014752503410026,4995.25018060943,5.0752349340433,0.0317439083781176,2020-07-11
193,78439.0158727817,0.670250832356731,19760.6338939455,1799.6799824398,0.0013396072336185,4995.25265363275,5.07530670249202,0.0387505139639358,2020-07-12
194,78407.8555177499,0.609030693829898,19806.7966976338,1784.73875392179,0.001217322787464,4995.25536962715,5.07537189101927,0.0464465923627981,2020-07-13
195,78376.8898438051,0.553847616200915,19852.6400006148,1769.91630796313,0.00110708432898775,4995.25830547394,5.07543114845654,0.0548291729040771,2020-07-14
196,78346.1176977089,0.504104355894811,19898.1659728102,1755.21222512423,0.00100770254198216,4995.26143750135,5.07548505959273,0.0638950758717169,2020-07-15
197,78315.5379558088,0.459261135346699,19943.3767384451,1740.62604461,0.000918102084485127,4995.26474222522,5.07553415082032,0.0736409174031047,2020-07-16
198,78285.1494463956,0.41882890547894,19988.2745015595,1726.15722313858,0.000837308296383333,4995.26819681026,5.0755788974743,0.0840631139724761,2020-07-17
199,78254.9510639151,0.38236755198118,20032.8613576534,1711.80521087871,0.000764443745707899,4995.27177957431,5.07561972617466,0.0951578858262783,2020-07-18
200,78224.9416914454,0.349479722054541,20077.1394196249,1697.5694092068,0.000698716007129795,4995.27547018858,5.07565702132409,0.10692126044042,2020-07-19
201,78195.1202193776,0.319807363235282,20121.1107863463,1683.44918691196,0.000639410833976695,4995.27924987123,5.07569112883395,0.119349075349386,2020-07-20
202,78165.4855449695,0.293028077342324,20164.7775427553,1669.44388419703,0.000585884944626788,4995.283101488,5.07572235994403,0.132436980708707,2020-07-21
203,78136.0365719912,0.268851765579898,20208.1417599446,1655.55281629781,0.000537559376683216,4995.28700959398,5.07575099468547,0.146180441603818,2020-07-22
204,78106.7722104446,0.247017550299863,20251.2054952522,1641.77527675202,0.000493913382584713,4995.29096043034,5.07577728501575,0.160574740158073,2020-07-23
205,78077.6913763431,0.227290957970381,20293.9707923506,1628.1105403475,0.000454478837924905,4995.29494188757,5.07580145765323,0.175614977485088,2020-07-24
