"time","xS","xI","xV","xR","xC","xF","xJ","date","R_t"
43,92639.9380501097,5.41197337492113,7335.74538494811,18.9045915662377,0.802473400848282,25.6835526776584,335254.337852737,2020-02-13,0.95768473291772
44,92495.8911992865,5.38878661655273,7479.43525340933,19.284760686614,0.801090472544503,26.2006198848374,343272.732691337,2020-02-14,0.95647875786852
45,92352.938284866,5.3650529234483,7622.03723841807,19.6594237914698,0.799664945879185,26.7147931353258,351277.083055595,2020-02-15,0.955275953343362
46,92211.0710623938,5.34078108437444,7763.55958374514,20.0285727757852,0.798196582541185,27.2260269580918,359266.961818311,2020-02-16,0.954072592081335
47,92070.2813506281,5.31597818070503,7904.01047080061,20.3922003897818,0.796685028800296,27.734274966107,367241.938881089,2020-02-17,0.952865418510864
48,91930.5610309638,5.29064985304815,8043.39801910692,20.750300075446,0.795129828410375,28.2394899658927,375201.580086516,2020-02-18,0.951651568675307
49,91791.902046877,5.26480052515891,8181.73028676831,21.102865828775,0.79353043329048,28.7416240488242,383145.446247974,2020-02-19,0.95042850301251
50,91654.296403387,5.23843359211864,8319.01527093643,21.4498920836335,0.791886212340984,29.2406286672621,391073.092276679,2020-02-20,0.949193949852622
51,91517.7361665341,5.21155157861863,8455.26090827256,21.7913736137836,0.790196458692372,29.7364546980731,398984.066388838,2020-02-21,0.947945857856673
52,91382.2134628707,5.18415627223198,8590.47507540597,22.1273054502099,0.788460395635291,30.2290524956852,406877.909378533,2020-02-22,0.946682355915251
53,91247.720478963,5.15624883576046,8724.66558938901,22.457682811331,0.786677181439522,30.718371936473,414754.153944192,2020-02-23,0.94540171927299
54,91114.2494609046,5.1278299020774,8857.84020814839,22.7825010440818,0.784845913235649,31.2043624559757,422612.324058448,2020-02-24,0.944102340848976
55,90981.7927138373,5.09889965433193,8990.00663093331,23.1017555741804,0.782965630104885,31.6869730802114,430451.934372758,2020-02-25,0.942782706893277
56,90850.3426014811,5.06945789391548,9121.17249875992,23.4154418641682,0.781035315499019,32.1661524521461,438272.489649475,2020-02-26,0.941441376261112
57,90719.8915456705,5.03950409820347,9251.34539485247,23.7235553780427,0.779053899092829,32.6418488542104,446073.484215217,2020-02-27,0.940076962703897
58,90590.4320258968,5.00903746976135,9380.53284508113,24.026091551497,0.777020258155016,33.1140102276178,453854.401430293,2020-02-28,0.938688119674406
59,90461.9565788574,4.97805697843335,9508.74231839631,24.3230457669422,0.774933218510094,33.5825841891209,461614.713169737,2020-02-29,0.937273527224923
60,90334.4577980091,4.9465613975064,9635.98122725989,24.6144133326242,0.772791555152361,34.0475180457475,469353.879312185,2020-03-01,0.935831880645447
61,90207.9283331261,4.91454933495279,9762.25692807293,24.9001894652635,0.770593992563711,34.5087588079808,477071.347233365,2020-03-02,0.934361880545663
62,90082.3608898626,4.88201926059747,9887.5767216003,25.180369275741,0.768339204779188,34.9662532017772,484766.551301489,2020-03-03,0.932862224131932
63,89957.7482293199,4.84896952992437,10011.947853392,25.4549477574356,0.766025815237772,35.41994767977,492438.912372181,2020-03-04,0.931331597470019
64,89834.083167616,4.81539840512618,10135.3775142012,25.7239197768878,0.763652396450532,35.8697884319528,500087.837280992,2020-03-05,0.929768668557355
65,89711.3585754596,4.78130407391047,10257.8728403991,25.9872800665211,0.761217469513929,36.3157213961112,507712.718331792,2020-03-06,0.928172081056212
66,89589.5673777264,4.74668466649851,10379.4409143871,26.2450232192043,0.75871950349248,36.7576922682341,515312.932779645,2020-03-07,0.926540448562319
67,89468.7025530387,4.71153827119002,10500.0887650047,26.4971436844764,0.75615691469217,37.1956465131159,522887.842306918,2020-03-08,0.924872349302549
68,89348.7571333483,4.67586294881358,10619.8233679358,26.7436357662959,0.753528065843673,37.6295293753446,530436.792491683,2020-03-09,0.923166321171708
69,89229.7242035205,4.63965674633925,10738.6516461102,26.9844936222033,0.750831265212747,38.0592858908526,537959.112267565,2020-03-10,0.921420857031763
70,89111.5969009217,4.60291770989318,10856.5804701038,27.2197112638149,0.748064765653847,38.4848608992002,545454.113374406,2020-03-11,0.919634400208237
71,88994.368415009,4.56564389738437,10973.6166585341,27.4492825585873,0.745226763622076,38.9061990567519,552921.089799234,2020-03-12,0.917805340128056
72,88878.0319869216,4.52783339092896,11089.7669784538,27.6732012328134,0.742315398158073,39.3232448509019,560359.317207219,2020-03-13,0.915932008051026
73,88762.5809090731,4.48948430923762,11205.0381457409,27.8914608758269,0.739328749860177,39.7359426155026,567768.052362393,2020-03-14,0.91401267285394
74,88648.0085247475,4.45059482011511,11319.4368254861,28.1040549454105,0.736264839858289,40.1442365476481,575146.532538092,2020-03-15,0.912045536831967
75,88534.3082276948,4.41116315320826,11432.9696323766,28.3109767744144,0.733121628804158,40.5480707259695,582493.974917213,2020-03-16,0.910028731486824
76,88421.4734617299,4.37118761312832,11545.6431310775,28.5122195786069,0.729897015893462,40.947389130596,589809.575982512,2020-03-17,0.907960313275416
77,88309.49772033,4.33066659306557,11657.4638366103,28.7077764657903,0.726588837935843,41.3421356649453,597092.510897358,2020-03-18,0.905838259296165
78,88198.3745462359,4.28959858900816,11768.438214728,28.8976404462254,0.723194868490203,41.7322541795098,604341.932877496,2020-03-19,0.903660462893454
79,88088.0975310522,4.24798221467305,11878.5726822879,29.0818044444197,0.719712817083869,42.1176884978116,611556.972554566,2020-03-20,0.901424729163407
80,87978.660314849,4.20581621725351,11987.8736076205,29.2602613123437,0.716140328535849,42.4983824447082,618736.737332327,2020-03-21,0.899128770346719
81,87870.0565857637,4.16309949408673,12096.347310897,29.4330038441515,0.712474982406242,42.8742798772383,625880.310736709,2020-03-22,0.896770201096707
82,87762.2800796037,4.11983111034378,12204.0000644925,29.6000247924868,0.708714292595934,43.245324718208,632986.751761115,2020-03-23,0.894346533613003
