"time","xS","xI","xV","xR","xC","xF","xJ","R_t","date"
695,72406.0962225305,484.17809914718,25540.5965242434,1569.12915407824,0.622313156722599,16573.0358937779,17.3105091039312,1.21772072393409,2021-11-26
696,72359.4262219025,494.355440681583,25541.4426327761,1604.77570463896,0.630002400384603,16632.1651505259,17.3635180841884,1.19847079700804,2021-11-27
697,72312.8896863988,503.821852314511,25542.1856965854,1641.10276470056,0.637015307310715,16691.5657232601,17.4175162718313,1.18102737176755,2021-11-28
698,72266.5199213804,512.617141772082,25542.8270977832,1678.03583906358,0.643413029414251,16751.2082799354,17.4724339087617,1.16522870451177,2021-11-29
699,72220.3449230242,520.7818245498,25543.3681912035,1715.50506122172,0.649252071816576,16811.0682221903,17.5282053200541,1.15092316744872,2021-11-30
700,72174.3882568058,528.356253919408,25543.8103092136,1753.44518006046,0.654584302924544,16871.1248408206,17.5847689347594,1.13796979831625,2021-12-01
701,72128.6698325687,535.379905276913,25544.154756307,1791.79550584652,0.659457042945627,16931.3606167045,17.6420672983611,1.12623855815889,2021-12-02
702,72083.2064523821,541.891078710874,25544.4028516785,1830.49961722778,0.663913438128504,16991.7605387412,17.7000466819851,1.11560960073608,2021-12-03
703,72038.012487475,547.92623683209,25544.5558740464,1869.50540164581,0.667992457683568,17052.3117108435,17.7586573501957,1.10597374488659,2021-12-04
704,71993.1002342674,553.519979513773,25544.615103321,1908.76468289707,0.671729351752633,17113.0028601102,17.817853088717,1.09723137415333,2021-12-05
705,71948.4803126869,558.704844219679,25544.5818130672,1948.23303002552,0.675155895565748,17173.8240102832,17.8775910744995,1.08929199697211,2021-12-06
706,71904.1619760913,563.511234941494,25544.4572723303,1987.8695166362,0.678300678033043,17234.7662002683,17.9378316620564,1.08207361654538,2021-12-07
707,71860.1533666593,567.967408121862,25544.2427471125,2027.63647810567,0.681189381499747,17295.8212555104,17.9985381659536,1.07550208971111,2021-12-08
708,71816.4617249914,572.099501782066,25543.939501553,2067.49927167281,0.683845047939175,17356.9816034291,18.0596766444297,1.06951049411651,2021-12-09
709,71773.0935614882,575.931596549935,25543.5487988558,2107.42604310537,0.686288328793242,17418.2401253499,18.1212156878666,1.06403851666905,2021-12-10
710,71730.0547959708,579.485799429375,25543.0719020079,2147.38750259119,0.688537717047283,17479.5900384873,18.1831262148091,1.0590318715731,2021-12-11
711,71687.350871032,582.78234298129,25542.5100743237,2187.35671166223,0.690609761086414,17541.0248025446,18.2453812774096,1.05444175287201,2021-12-12
712,71644.9868437371,585.839694122269,25541.8645798459,2227.30888229399,0.692519260533794,17602.5380463781,18.3079558775187,1.05022432398938,2021-12-13
713,71602.967459545,588.674668023848,25541.136683629,2267.22118880131,0.694279444699963,17664.1235109326,18.3708267941312,1.04634024505481,2021-12-14
